S.No,me,title,male,culture,dateOfBirth,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,isPopular,popularity,isAlive
218,Buford Bulwer,Ser,1,,,,,,House Bulwer,,0,0,0,0,0,,,,,0,1,,0,0,0,0.016722408,1
219,Gwayne Corbray,Ser,1,,,,,,House Corbray,,0,0,0,1,0,,,,,0,1,,0,0,0,0.043478261,1
220,Hugh Beesbury,Ser,0,,,,,,House Beesbury,,0,0,0,1,0,,,,,0,1,,0,0,0,0.013377926,1
221,Franklyn Frey,Ser,1,Rivermen,,,,,House Frey,,0,0,0,0,0,,,,,0,1,,0,0,0,0.036789298,1
222,Alyx Frey,,0,,282,,,,House Frey,,0,1,1,1,0,,,,,0,0,23,0,0,0,0.143812709,1
223,Yoren,,0,Westeros,,,,,Night's Watch,,1,1,1,1,0,,,,,0,0,,0,0,0,0.267558528,0
224,Bedwyck,,1,,,,,,Night's Watch,,0,1,1,1,1,,,,,0,0,,0,0,0,0.050167224,1
225,Robett Glover,,1,Northmen,,,,,House Glover,Sybelle Glover,1,1,1,1,1,,,,1,1,0,,0,0,0,0.16722408,1
226,Rodrik Flint,Lord Commander of the Night's Watch,1,,,,,,House Flint,,0,0,1,0,0,,,,,0,1,,0,0,0,0.063545151,1
227,Walda Frey (daughter of Edwyn),,0,,290,,,,House Frey,,0,1,1,1,0,,,,,0,0,15,0,0,0,0.10367893,1
228,Jon Vance,Maester,1,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.023411371,1
229,Melicent,Septa,0,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.003344482,1
230,Brandon Norrey,The NorreyLord Norrey,1,Northern mountain clans,,,,,House Norrey,,0,0,0,1,1,,,,,0,1,,0,0,0,0.030100334,1
231,Ormond (knight),Ser,0,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0,0,0,0
232,Leo Blackbar,Ser,1,,,,,,House Blackbar,Olene Tyrell,0,0,1,1,0,,,,1,1,1,,0,0,0,0.127090301,1
233,Imry Florent,Ser,1,,,,,,House Florent,,0,1,1,1,0,,,,,0,1,,0,0,0,0.183946488,0
234,Quincy Cox,Serthe Knight of Saltpans,1,,,,,,House Cox,,0,0,0,1,0,,,,,0,1,,0,0,0,0.033444816,1
235,Stonehand,,0,Ironborn,,,,,,,0,0,0,1,1,,,,,0,0,,0,0,0,0.010033445,1
236,Lester,,0,,,,,,House Lannister,,0,0,1,1,0,,,,,0,0,,0,0,0,0.016722408,1
237,Chayle,Septon,1,,,,,,,,1,1,1,0,0,,,,,0,0,,0,0,0,0.063545151,0
238,Roone,,1,,286,,,,,,0,0,0,1,0,,,,,0,0,19,0,0,0,0.040133779,1
239,Lorent Tyrell,,0,,,,,,House Tyrell,,0,0,1,1,0,,,,,0,0,,0,0,0,0.127090301,1
240,Qhorin Halfhand,,1,,,,,,Night's Watch,,1,1,1,1,1,,,,,0,0,,0,0,0,0.210702341,0
241,Harwyn Hoare,,1,,,,Qhorwyn Hoare,Halleck Hoare,,,0,0,0,0,0,,1,1,,0,0,,0,0,0,0.100334448,1
242,Will (orphan),,0,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.003344482,1
243,Theon Stark,,1,Northmen,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.056856187,1
244,Clydas,,1,,240,,,,Night's Watch,,1,1,1,1,1,,,,,0,0,65,0,0,0,0.063545151,1
245,Cleos Frey,Ser,1,,258,,,,House Frey,Jeyne Darry,1,1,1,1,1,,,,1,1,1,41,0,0,0,0.247491639,0
246,Harmond Umber,Last Hearth,0,Northmen,,,,,House Umber,,1,0,0,0,0,,,,,0,1,,0,0,0,0.016722408,1
247,Ardrian Celtigar,Claw Isle,1,,229,,,,House Celtigar,,0,1,1,0,0,,,,,0,1,76,0,0,0,0.043478261,1
248,Bere Hornwood,,0,Northmen,,,,,House Hornwood,Leobald Tallhart,0,1,1,1,1,,,,0,1,0,,0,0,0,0.063545151,1
249,Koss,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.036789298,0
250,Lymond Goodbrook,Lord,1,,,,,,House Goodbrook,,0,0,1,1,1,,,,,0,1,,0,0,0,0.026755853,1
251,Alayaya,,0,,282,,,,Chataya's brothel,,0,1,1,1,1,,,,,0,0,23,0,0,0,0.076923077,1
252,Orland of Oldtown,,1,,,,,,House Baratheon of King's Landing,,0,0,1,1,1,,,,,0,0,,0,0,0,0.006688963,1
253,Garizon,Archmaester,0,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.006688963,1
254,Dudley,Ser,1,,,,,,,,0,0,1,0,0,,,,,0,1,,0,0,0,0,1
255,Gormond Drumm,,1,Ironborn,,,,,House Drumm,,0,0,0,1,0,,,,,0,0,,0,0,0,0.006688963,1
256,Robb Reyne,Ser,1,,,,,,House Reyne,,0,0,0,0,0,,,,,0,1,,0,0,0,0.006688963,1
257,Ravella Swann,Acorn Hall,0,,,,,,House Swann,Theomar Smallwood,0,0,1,1,0,,,,1,1,1,,0,0,0,0.060200669,1
258,Theodore Tyrell,Ser,1,,,,,,House Tyrell,Lia Serry,0,0,1,1,0,,,,1,1,1,,0,0,0,0.137123746,1
259,Watty,,0,,,,,,Brotherhood without banners,,0,0,1,1,0,,,,,0,0,,0,0,0,0.013377926,1
260,Pono,KhalKo (formerly),0,Dothraki,,,,,,,1,1,1,1,1,,,,,0,1,,0,0,0,0.060200669,1
261,Ormond Osgrey,Coldmoat,0,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,1,,0,0,0,0.010033445,1
262,Roryn Drumm,,0,Ironborn,,,,,House Drumm,,0,0,0,1,0,,,,,0,0,,0,0,0,0.003344482,1
263,Reyrd Webber,Lord of Coldmoat,0,,,,,,House Webber,,0,0,0,0,0,,,,,0,1,,0,0,0,0.006688963,1
264,Dontos Hollard,Ser,1,,261,,,,House Hollard,,1,1,1,1,0,,,,,0,1,39,0,0,0,0.230769231,0
265,Aladale Wynch,Ser,1,Ironborn,,,,,House Wynch,,0,1,1,0,0,,,,,0,1,,0,0,0,0.02006689,0
266,Jarl,,1,Free Folk,,,,,,,0,0,1,1,1,,,,,0,0,,0,0,0,0.050167224,0
267,Old Henly,,1,,220,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,79,0,0,0,0.013377926,0
268,Maric Seaworth,Oarmaster,1,,,,,,House Seaworth,,0,1,1,1,1,,,,,0,1,,0,0,0,0.063545151,0
269,Barre,Septon,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.013377926,1
270,Shiera Crakehall,,0,,,,,,House Crakehall,Damion Lannister,0,0,1,1,1,,,,1,1,0,,0,0,0,0.066889632,1
271,Left Hand Lew,,1,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.016722408,1
272,Grazdan mo Eraz,,0,Ghiscari,,,,,Wise Masters,,0,0,1,1,1,,,,,0,0,,0,0,0,0.023411371,1
273,Doreah,,0,Lysene,278279,,,,House Targaryen,,1,1,0,0,1,,,,,0,0,-277980,0,0,0,0.110367893,0
274,Ryles,,0,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.013377926,0
275,Belle Hawick,,0,,,,,,House Hawick,Hosteen Frey,0,1,1,1,0,,,,1,1,0,,0,0,0,0.133779264,1
276,Damion Lannister,SerCastellan of Casterly Rock,1,,,,,,House Lannister,Shiera Crakehall,0,0,1,1,1,,,,1,1,1,,0,0,0,0.08361204,1
277,Ebben,,1,,,,,,Night's Watch,,0,1,1,1,1,,,,,0,0,,0,0,0,0.043478261,0
278,Elyas Willum,,1,,,,,,House Willum,,0,1,0,0,0,,,,,0,0,,0,0,0,0.013377926,1
279,Hodor,,1,Northmen,,,,,House Stark,,1,1,1,1,1,,,,,0,0,,0,0,0,0.244147157,1
280,Balon Swann,Ser,1,Stormlander,,,,,House Swann,,1,1,1,1,1,,,,,0,1,,0,0,0,0.311036789,1
281,Ollo Lophand,,1,Tyroshi,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.036789298,0
282,Urreg,,0,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.010033445,1
283,Dareon,,1,,,,,,Night's Watch,,1,1,1,1,1,,,,,0,0,,0,0,0,0.16722408,0
284,Guthor Grimm,Lord of Greyshield,1,,,,,,House Grimm,,0,0,0,1,1,,,,,0,1,,0,0,0,0.016722408,1
285,Donnel Drumm,,1,Ironborn,,,,,House Drumm,,0,0,0,1,0,,,,,0,0,,0,0,0,0.016722408,1
286,Lymond Mallister,Seagard,0,,,,,,House Mallister,,0,0,0,0,0,,,,,0,1,,0,0,0,0.013377926,1
287,Harwood Fell,Felwood,1,,,,,,House Fell,,0,0,0,1,1,,,,,0,1,,0,0,0,0.030100334,0
288,Dickon Tarly,,1,,287,,,,House Tarly,Eleanor Mooton,1,0,0,1,1,,,,1,1,0,18,0,0,0,0.10367893,1
289,Lucas Inchfield,Ser,1,,,,,,House Inchfield,,0,0,0,0,0,,,,,0,1,,0,0,0,0.053511706,0
290,Joth Quickbow,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0,1
291,Jeyne Swann,,0,,,,,,House Swann,,0,0,1,0,0,,,,,0,0,,0,0,0,0.016722408,1
292,Romny Weaver,,1,Ironborn,,,,,House Weaver,,0,0,0,1,0,,,,,0,0,,0,0,0,0.02006689,1
293,Ryam,Archmaester,1,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.013377926,1
294,Raymar Royce,Lord,1,,,,,,House Royce of the Gates of the Moon,,0,0,1,0,0,,,,,0,1,,0,0,0,0.013377926,1
295,Grisella,,0,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.010033445,1
296,Catelyn Stark,Winterfell,0,Rivermen,264,,,,House Tully,Eddard Stark,0,0,0,0,0,,,,0,1,1,35,7,1,0,0,0
297,Mudge (miller),,1,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.003344482,1
298,Cerrick,Maester,1,Ironborn,,,,,House Webber,,0,0,0,0,0,,,,,0,1,,0,0,0,0.006688963,1
299,Arys Oakheart,Ser,1,Reach,,,,,House Oakheart,,1,1,1,1,1,,,,,0,1,,0,0,1,0.344481605,0
300,Runcel Hightower,Lord Commander of the Night's Watch,1,,,,,,House Hightower,,0,0,1,0,0,,,,,0,1,,0,0,0,0.053511706,1
301,Moro,Khal,1,Dothraki,,,,,,,1,0,0,1,0,,,,,0,0,,0,0,0,0.016722408,1
302,Victarion Greyjoy,Lord Captain of the Iron Fleet,1,Ironborn,268,,,,House Greyjoy,,1,1,1,1,1,,,,,0,1,37,4,1,1,0.705685619,1
303,Andrik,Lord of Southshield,1,Ironborn,,,,,House Drumm,,0,1,1,1,1,,,,,0,1,,0,0,0,0.043478261,1
304,Rhonda Rowan,,0,,,,,,House Rowan,Baelor Hightower,0,0,0,1,0,,,,1,1,0,,0,0,0,0.050167224,1
305,Raymond yland,Ser,0,,,,,,House yland,,0,0,0,1,0,,,,,0,1,,0,0,0,0.016722408,1
306,Grunt,,1,Northmen,,,,,House Bolton,,0,0,0,0,1,,,,,0,0,,0,0,0,0.026755853,1
307,Brandon Tallhart,,1,Northmen,284,,,,House Tallhart,,0,1,1,1,1,,,,,0,0,21,0,0,0,0.060200669,1
308,Wendell Webber,Ser,1,,,,,,House Webber,,0,0,0,0,0,,,,,0,1,,0,0,0,0.013377926,1
309,Bharbo,Khal,0,Dothraki,,,,,,,1,0,0,0,0,,,,,0,0,,2,1,0,0.003344482,1
310,Symon Silver Tongue,,1,,,,,,,,0,1,1,0,1,,,,,0,0,,0,0,0,0.046822742,0
311,Varys,Master of Whisperers,1,,,,,,,,1,1,1,1,1,,,,,0,1,,0,0,1,0.899665552,1
312,Kyle Condon,Ser,1,,,,,,House Condon,,0,0,1,0,0,,,,,0,1,,0,0,0,0.040133779,1
313,Vaemond Velaryon,Ser,1,Valyrian,,,,,House Velaryon,,0,0,0,0,0,,,,,0,1,,0,0,0,0.030100334,0
314,Kromm,,0,ironborn,,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,0,0,0.006688963,0
315,Yormwell,Maester,0,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0,0,0.003344482,1
316,Beron Blacktyde,,0,,,,,,House Blacktyde,,0,0,0,1,1,,,,,0,0,,0,0,0,0.016722408,1
317,Tywin Frey,Ser,1,,287,,,,House Frey,,0,1,1,1,1,,,,,0,1,18,0,0,0,0.080267559,1
318,Aglantine,Septa,0,,,,,,Faith of the Seven,,0,0,0,1,1,,,,,0,0,,0,0,0,0.013377926,1
319,Rakharo,Bloodrider,1,Dothraki,,,,,House Targaryen,,1,1,1,1,1,,,,,0,0,,0,0,0,0.183946488,1
320,Roger Ryswell,,1,Northmen,,,,,House Ryswell,,0,0,0,1,1,,,,,0,0,,0,0,0,0.046822742,1
321,Tristifer Botley,Lordsport,1,Ironborn,,,,,House Botley,,0,0,0,1,1,,,,,0,1,,0,0,0,0.120401338,1
322,Perriane Frey,,0,,241,,,,House Haigh,Leslyn Haigh,0,1,1,1,1,,,,1,1,0,64,0,0,0,0.073578595,1
323,Drenn,,1,Ironborn,,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,0,0,0.013377926,0
324,Dunstan Drumm,Old Wyk,1,Ironborn,212,,,,House Drumm,,0,1,1,1,1,,,,,0,1,93,0,0,0,0.076923077,1
325,Myrtle,,0,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.046822742,0
326,Nissa Nissa,,1,,,,,,,Azor Ahai,0,1,0,0,0,,,,1,1,0,,0,0,0,0.02006689,1
327,Chett,,1,,,,,,Night's Watch,,1,1,1,0,0,,,,,0,0,,0,0,0,0.197324415,0
328,Danelle Lothston,Harrenhal,0,,,,,,House Lothston,,0,0,0,1,0,,,,,0,1,,0,0,0,0.016722408,1
329,Joramun,King-Beyond-the-Wall,1,Free Folk,,,,,,,0,1,1,0,0,,,,,0,1,,0,0,0,0.063545151,1
330,Old Crackbones,,1,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0,1
331,Melwyn Sarsfield,Ser,1,,,,,,House Sarsfield,Shierle Swyft,0,0,1,1,0,,,,1,1,1,,0,0,0,0.030100334,1
332,Donnel Hill,,1,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.043478261,1
333,Aenys I Targaryen,,1,,,Rhaenys Targaryen,Aegon I Targaryen,Aegon Targaryen,,,0,0,0,0,0,0,0,1,,0,0,,5,1,1,0.571906355,0
334,Wilbert,Ser,1,,,,,,,,0,0,1,0,0,,,,,0,1,,0,0,0,0.006688963,0
335,Viserys Targaryen,Lord of the Seven Kingdoms,1,Valyrian,276,,,,House Targaryen,,1,1,1,1,1,,,,,0,1,22,11,1,1,0.622073579,0
336,Jaqen H'ghar,,1,,,,,,Faceless Men,,0,0,0,0,0,,,,,0,0,,0,0,0,0.200668896,1
337,Dalla (Dragonstone),,0,,,,,,House Baratheon of Dragonstone,,0,1,0,0,0,,,,,0,0,,0,0,0,0.006688963,1
338,Holly,,1,Free Folk,283,,,,,,0,0,0,0,1,,,,,0,0,17,0,0,0,0.056856187,0
339,Tim Stone,,0,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.016722408,1
340,Emma,,0,,260,,,,,,0,0,0,1,0,,,,,0,0,45,0,0,0,0.016722408,1
341,Jasper Waynwood,,1,,,,,,House Waynwood,,0,0,0,1,0,,,,,0,0,,0,0,0,0.056856187,1
342,Poxy Tym,,1,northmen,,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,0,0,0.010033445,0
343,Jorah Stark,King in the North,1,Northmen,,,,,House Stark,,0,1,0,0,0,,,,,0,1,,0,0,0,0.010033445,1
344,Walda Rivers (daughter of Aemon),,0,,295,,,,House Frey,,0,0,1,0,0,,,,,0,0,10,0,0,0,0.026755853,1
345,William Mooton,Maidenpool,1,,,,,,House Mooton,,0,1,1,1,1,,,,,0,1,,0,0,0,0.043478261,1
346,Quellon Botley,,1,Ironborn,,,,,House Botley,,0,0,0,1,0,,,,,0,0,,0,0,0,0.046822742,1
347,Hamish the Harper,,0,,,,,,,,0,0,1,1,1,,,,,0,0,,0,0,0,0.02006689,0
348,Mully,,1,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.050167224,1
349,Jaggot,,0,Vale mountain clans,,,,,Stone Crows,,1,0,0,0,0,,,,,0,0,,0,0,0,0,1
350,Cragorn,,1,,,,,,House Greyjoy,,0,0,0,1,1,,,,,0,0,,0,0,0,0.023411371,0
351,Robert Flowers,Ser,1,,,,,,Kingsguard,,0,0,0,1,0,,,,,0,1,,0,0,0,0.060200669,1
352,Ollidor,Septon,1,,,,,,Faith of the Seven,,0,0,0,1,1,,,,,0,0,,0,0,0,0.016722408,1
353,Aemma Arryn,Queen,0,,82,,,,House Arryn,Viserys I Targaryen,0,0,0,0,0,,,,0,1,1,23,0,0,0,0.183946488,0
354,Sour Alyn,,1,,,,,,House Bolton,,0,0,0,0,1,,,,,0,0,,0,0,0,0.043478261,1
355,Mallador Locke,Ser,1,,,,,,Night's Watch,,0,1,1,0,0,,,,,0,1,,0,0,0,0.026755853,0
356,Tarle,,1,Ironborn,,,,,Drowned men,,0,0,0,1,0,,,,,0,0,,0,0,0,0.026755853,1
357,Quhuru Mo,,1,Summer Isles,,,,,,,0,1,0,1,0,,,,,0,0,,0,0,0,0.040133779,1
358,Ulrick Dayne,Ser,1,Dornish,,,,,House Dayne,,0,0,0,0,0,,,,,0,1,,0,0,0,0.006688963,1
359,Galbart Glover,Master of Deepwood Motte,1,Northmen,,,,,House Glover,,1,1,1,1,1,,,,,0,1,,0,0,0,0.120401338,1
360,Hot Pie,,0,,,,,,,,0,1,1,1,0,,,,,0,0,,0,0,0,0.183946488,1
361,Pycelle,Grand Maester,1,,216,,,,House Lannister,,1,1,1,1,1,,,,,0,1,84,0,0,1,0.638795987,0
362,Byam Flint,Ser,1,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,1,,0,0,0,0.02006689,0
363,Duncan Targaryen,Prince of Dragonstone,1,,220,,,,House Targaryen,Jenny of Oldstones,0,0,1,1,1,,,,1,1,1,39,6,1,0,0.140468227,0
364,Becca,,1,,,,,,House Arryn,,1,0,0,0,0,,,,,0,0,,0,0,0,0.003344482,1
365,Artos Stark,,1,Northmen,,,,,House Stark,Lysara Karstark,0,1,0,0,1,,,,1,1,0,,0,0,0,0.10367893,1
366,Thoren Smallwood,First Ranger,1,,,,,,Night's Watch,,0,1,1,0,0,,,,,0,1,,0,0,0,0.086956522,0
367,Dorren Stark,,1,Northmen,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.013377926,1
368,Armond Caswell,Bitterbridge,1,,,,,,House Caswell,,0,0,0,0,0,,,,,0,1,,0,0,0,0.006688963,1
369,Mors Martell (brother of Doran),,1,,248,,,,House Martell,,0,0,0,1,0,,,,,0,0,0,0,0,0,0.066889632,0
370,Kyra Frey,,0,,262,,,,House Frey,Garse Goodbrook,0,1,1,1,0,,,,1,1,0,43,0,0,0,0.066889632,1
371,Shyra,,0,Northmen,,,,,House Stark,,0,1,0,1,0,,,,,0,0,,0,0,0,0.02006689,1
372,Helya,,0,,,,,,House Greyjoy,,0,1,1,1,0,,,,,0,0,,0,0,0,0.016722408,1
373,Tybolt Hetherspoon,Ser,1,,,,,,House Hetherspoon,,0,0,0,1,1,,,,,0,1,,0,0,0,0.010033445,1
374,Sky Blue Su,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0,1
375,Mag Mar Tun Doh Weg,,1,,,,,,,,0,0,1,1,1,,,,,0,0,,0,0,0,0.040133779,0
376,Dale Seaworth,Wraith,1,,,,,,House Seaworth,,0,1,1,1,1,,,,,0,1,,0,0,0,0.070234114,0
377,Rupert Crabb,Ser,0,,,,,,House Crabb,,0,0,0,1,0,,,,,0,1,,0,0,0,0.006688963,1
378,Shar,,0,,,,,,,Husband,0,0,1,1,0,,,,1,1,0,,0,0,0,0.036789298,1
379,Yohn Farwynd,,1,Ironborn,,,,,House Farwynd of the Lonely Light,,0,0,0,1,0,,,,,0,0,,0,0,0,0.010033445,1
380,Aegon Frey (son of Aenys),,1,,253,,,,House Frey,,0,0,0,0,0,,,,,0,0,52,0,0,0,0,1
381,Tregar,,0,,,,,,House Lannister,,1,0,0,0,0,,,,,0,0,,0,0,0,0.006688963,0
382,Chiggen,,1,,,,,,,,1,0,0,0,0,,,,,0,0,,0,0,0,0.016722408,0
383,Darlessa Marbrand,,0,,,,,,House Marbrand,Tygett Lannister,1,1,1,0,1,,,,1,1,0,,0,0,0,0.08361204,1
384,Jeyne Fossoway,,0,,,,,,House Fossoway of New Barrel,Gunthor Hightower,0,0,0,1,0,,,,1,1,0,,0,0,0,0.053511706,1
385,Joss the Gloom,,0,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.010033445,1
386,Frynne,,0,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0,1
387,Qos,Wind Witch,1,,,,,,,,1,0,0,0,0,,,,,0,1,,0,0,0,0.003344482,1
388,Moredo Prestayn,Tradesman-Captain,1,Braavosi,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.010033445,1
389,Togg Joth,,1,Ibbenese,,,,,Brave Companions,,0,0,1,1,0,,,,,0,0,,0,0,0,0.016722408,1
390,Rhaegel Targaryen,Prince of Dragonstone,1,Valyrian,173,,,,House Targaryen,Alys Arryn,0,0,0,0,0,,,,1,1,1,42,3,1,0,0.096989967,0
391,Erreg,King,0,Andal,,,,,,,0,0,1,0,0,,,,,0,1,,0,0,0,0.016722408,1
392,Hotho Harlaw,Tower of Glimmering,1,Ironborn,,,,,House Harlaw of the Tower of Glimmering,,0,0,0,1,1,,,,,0,1,,0,0,0,0.076923077,1
393,Myrielle Lannister,,0,,,,,,House Lannister,,1,1,1,1,1,,,,,0,0,,0,0,0,0.070234114,1
394,Liane Vance,,0,,,,,,House Vance of Wayfarer's Rest,,0,0,0,1,0,,,,,0,0,,0,0,0,0.016722408,1
395,Todder,,1,,,,,,Night's Watch,,1,1,1,0,1,,,,,0,0,,0,0,0,0.036789298,1
396,Lomys,Maester,1,,,,,,,,1,1,1,1,1,,,,,0,1,,0,0,0,0.023411371,1
397,Roslin Frey,,1,Rivermen,282,,,,House Frey,Edmure Tully,0,1,1,1,1,,,,1,1,0,23,6,1,0,0.217391304,1
398,Daemon II Blackfyre,Andals,1,,188,,,,House Blackfyre,,0,0,0,0,0,,,,,0,1,23,5,1,0,0.227424749,0
399,Walda Rivers,,0,,294,,,,House Frey,,0,1,1,1,0,,,,,0,0,11,0,0,0,0.033444816,1
400,Lan,,0,,285,,,,,,0,0,1,1,0,,,,,0,0,20,0,0,0,0.02006689,1
401,Ferrego Antaryon,Sealord,1,Braavosi,,,,,,,0,0,0,1,1,,,,,0,1,,0,0,0,0.016722408,1
402,Fale Stokeworth,Harrenhal,1,,125,,,,House Stokeworth,Lucas Lothston,0,0,0,0,0,,,,1,1,1,100,0,0,0,0.023411371,0
403,Dywen,,1,,,,,,Night's Watch,,1,1,1,1,1,,,,,0,0,,0,0,0,0.093645485,1
404,Gran Goodbrother,,1,Ironborn,,,,,House Goodbrother,,0,0,0,1,0,,,,,0,0,,0,0,0,0.026755853,1
405,Viserys I Targaryen,,1,,,Alyssa Targaryen,Baelon Targaryen,Rhaenyra Targaryen,,,0,0,0,0,0,1,1,1,,0,0,,5,1,1,0.678929766,0
406,Watt,,1,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.016722408,0
407,Garth Greenfield,Knight,0,Westerman,,,,,House Greenfield,,1,0,1,1,1,,,,,0,1,,0,0,0,0.030100334,1
408,Young Henly,,1,,240,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,59,0,0,0,0.013377926,0
409,Lucas Codd,,0,Ironborn,,,,,House Codd,,0,0,0,1,1,,,,,0,0,,0,0,0,0.023411371,1
410,Cedric Payne,Ser,1,,,,,,House Payne,,0,0,0,1,0,,,,,0,1,,0,0,0,0.013377926,0
411,Irri,,0,Dothraki,283,,,,House Targaryen,,1,1,1,1,1,,,,,0,0,22,0,0,0,0.193979933,1
412,Toefinger,,1,Free Folk,,,,,,,0,0,1,1,0,,,,,0,0,,0,0,0,0.006688963,1
413,Jaime Frey,,1,,299,,,,House Frey,,0,0,0,1,0,,,,,0,0,6,0,0,0,0.127090301,1
414,Ormond Yronwood,Yronwood,0,,,,,,House Yronwood,,0,0,0,0,0,,,,,0,1,,0,0,0,0,1
415,Luton,,1,Northmen,,,,,House Bolton,,0,0,0,0,1,,,,,0,0,,0,0,0,0.023411371,0
416,Jodge,,1,,,,,,House Lannister,,0,1,0,0,0,,,,,0,0,,0,0,0,0.003344482,1
417,Wat (Standfast),,0,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,0,0,0.003344482,1
418,Elys Westerling,Ser,0,,,,,,House Westerling,,0,0,1,0,0,,,,,0,1,,0,0,0,0.013377926,1
419,Humfrey Beesbury,Ser,1,,,,,,House Beesbury,,0,0,0,0,0,,,,,0,1,,0,0,0,0.026755853,0
420,Larraq,,1,Ghiscari,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.02006689,1
421,Lorent Marbrand,Ser,1,Westerman,,,,,House Marbrand,,0,0,0,0,0,,,,,0,1,,0,0,0,0.073578595,0
422,Tyrion Lannister,Hand of the King,1,,273,,,,House Lannister,Tysha,1,1,1,1,1,,,,1,1,1,32,12,1,1,1,1
423,Jeffory Norcross,Ser,1,,,,,,House Norcross,,0,0,0,1,0,,,,,0,1,,0,0,0,0.006688963,1
424,Cossomo,,1,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.013377926,1
425,Sigfryd Harlaw,Master of Harlaw Hall,1,Ironborn,,,,,House Harlaw of Harlaw Hall,,0,0,0,1,1,,,,,0,1,,0,0,0,0.063545151,1
426,Colen of Greenpools,Ser,1,,,,,,House Baratheon,,0,1,0,0,0,,,,,0,1,,0,0,0,0.016722408,1
427,Dele Florent,,0,,,,,,House Florent,Hosman Norcross,0,1,1,1,0,,,,1,1,0,,0,0,0,0.117056856,1
428,Beldecar,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.006688963,1
429,Urswyck,,1,,,,,,Brave Companions,,0,0,1,1,0,,,,,0,0,,0,0,0,0.030100334,1
430,Steely Pate,,1,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.013377926,1
431,Daella Targaryen (daughter of Maekar I),Princess,1,Valyrian,199,,,,House Targaryen,,0,0,0,0,0,,,,,0,1,100,0,0,0,0.080267559,0
432,Ottomore,,1,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.006688963,1
433,Dobber,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.026755853,0
434,Cellador,Septon,1,,,,,,Night's Watch,,1,1,1,1,1,,,,,0,0,,0,0,0,0.033444816,1
435,Jonos Stark,King in the North,1,Northmen,,,,,House Stark,,0,1,0,0,0,,,,,0,1,,0,0,0,0.010033445,1
436,Rast,,1,,,,,,Night's Watch,,1,1,1,0,0,,,,,0,0,,0,0,0,0.066889632,0
437,Cohollo,Bloodrider,1,Dothraki,,,,,Khal,,1,0,0,0,0,,,,,0,0,,0,0,0,0.033444816,0
438,Poul Pemford,,1,,,,,,House Pemford,,0,1,0,0,0,,,,,0,0,,0,0,0,0.006688963,0
